cores,threads,launch_date,lithography,base_frequency,turbo_frequency,cache_size,tdp,price
2,2.0,201308.0,22.0,1700.0,2000.0,1024,7.0,60.0
2,2.0,201308.0,22.0,1700.0,2000.0,1024,6.0,43.0
2,2.0,201308.0,22.0,1700.0,2000.0,1024,7.0,60.0
4,4.0,201308.0,22.0,1700.0,1700.0,2048,13.0,91.0
4,8.0,201508.0,14.0,3400.0,4000.0,8192,65.0,303.0
2,4.0,201502.0,14.0,3100.0,3400.0,4096,28.0,426.0
2,4.0,201502.0,14.0,2200.0,3100.0,4096,15.0,426.0
2,4.0,201502.0,14.0,2400.0,3000.0,4096,15.0,393.0
4,8.0,201505.0,14.0,2700.0,3400.0,6144,47.0,435.0
4,8.0,201305.0,22.0,3400.0,3900.0,8192,84.0,312.0
4,8.0,201305.0,22.0,3500.0,3900.0,8192,84.0,350.0
4,8.0,201305.0,22.0,3100.0,3900.0,8192,65.0,303.0
4,8.0,201305.0,22.0,2800.0,3800.0,8192,47.0,570.0
4,4.0,201305.0,22.0,3000.0,3200.0,6144,84.0,187.0
2,4.0,201305.0,22.0,2700.0,3300.0,4096,35.0,192.0
4,4.0,201305.0,22.0,2300.0,3300.0,6144,45.0,213.0
4,4.0,201305.0,22.0,3400.0,3800.0,6144,84.0,243.0
4,4.0,201305.0,22.0,3200.0,3600.0,6144,84.0,192.0
4,4.0,201305.0,22.0,2900.0,3600.0,6144,65.0,192.0
2,4.0,201305.0,22.0,2900.0,3600.0,4096,35.0,195.0
4,4.0,201305.0,22.0,3400.0,3800.0,6144,84.0,224.0
2,4.0,201308.0,22.0,1600.0,2600.0,3072,15.0,281.0
2,4.0,201311.0,22.0,2600.0,3300.0,3072,37.0,227.0
2,4.0,201308.0,22.0,1900.0,2900.0,3072,15.0,281.0
2,4.0,201308.0,22.0,1600.0,2700.0,3072,25.0,266.0
4,4.0,201308.0,22.0,2800.0,3300.0,6144,65.0,187.0
4,4.0,201308.0,22.0,3100.0,3300.0,6144,84.0,187.0
4,8.0,201305.0,22.0,2700.0,3700.0,6144,47.0,380.0
4,8.0,201305.0,22.0,2400.0,3400.0,6144,47.0,378.0
4,8.0,201305.0,22.0,2300.0,3300.0,8192,45.0,303.0
2,4.0,201405.0,22.0,2900.0,2900.0,3072,37.0,266.0
2,4.0,201405.0,22.0,1800.0,2900.0,3072,25.0,266.0
4,4.0,201405.0,22.0,2000.0,3000.0,6144,35.0,192.0
4,4.0,201405.0,22.0,3300.0,3700.0,6144,84.0,202.0
4,4.0,201405.0,22.0,3000.0,3700.0,6144,65.0,192.0
4,4.0,201405.0,22.0,3200.0,3400.0,6144,84.0,182.0
4,4.0,201405.0,22.0,3200.0,3900.0,6144,65.0,224.0
4,4.0,201405.0,22.0,3500.0,3900.0,6144,88.0,243.0
2,4.0,201308.0,22.0,1700.0,3300.0,4096,15.0,426.0
4,8.0,201308.0,22.0,3500.0,3900.0,8192,84.0,320.0
