id,name,base_frequency,tdp,max_temp,url,socket,product_line,lithography,opn_tray,opn_pib,revision,cache_l1,cache_l2,cache_l3,first_mention_year
1,AMD Athlon II X2 210e,2600,45,71,https://web.archive.org/web/20131123023118/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=725&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Athlon II X2,45,AD210EHDK22GI,AD210EHDGIBOX,C2,128,512,,2013
2,AMD Athlon II X2 270u,2000,25,81,https://web.archive.org/web/20131123220405/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=724&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Athlon II X2,45,AD270USCK23GM,,C3,128,512,,2013
3,AMD Athlon X2 6000+,3000,89,70,https://web.archive.org/web/20131123023038/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=548&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2,AMD Athlon X2,90,ADA6000IAA6CZ,ADA6000CZBOX,f3,128,1024,,2013
4,AMD Athlon X2 7850,2800,95,73,https://web.archive.org/web/20131123023033/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=535&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2+,AMD Athlon X2,65,AD785ZWCJ2BGH,AD785ZWCGHBOX,B3,128,512,2048,2013
5,AMD Athlon X2 7450,2400,95,73,https://web.archive.org/web/20131123021445/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=508&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2+,AMD Athlon X2,65,AD7450WCJ2BGH,,B3,128,512,2048,2013
6,AMD Athlon X2 7550,2500,95,73,https://web.archive.org/web/20131123021439/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=507&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2+,AMD Athlon X2,65,AD7550WCJ2BGH,,B3,128,512,2048,2013
7,AMD Athlon X2 7750,2700,95,73,https://web.archive.org/web/20131123021434/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=506&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2+,AMD Athlon X2,65,AD775ZWCJ2BGH,AD775ZWCGHBOX,B3,128,512,2048,2013
8,AMD Athlon X2 5000+,2200,65,74,https://web.archive.org/web/20131123161123/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=607&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2+,AMD Athlon X2,45,AD5000ODJ22GI,AD5000ODGIBOX,C2,128,512,,2013
9,AMD Athlon X2 5200+,2300,65,74,https://web.archive.org/web/20131122020932/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=712&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Athlon X2,45,AD5200OCK22GM,,C3,128,512,,2013
10,AMD Athlon X2 4600+,2400,65,55,https://web.archive.org/web/20131123025946/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=430&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2,AMD Athlon X2,65,ADO4600IAA5DO,ADO4600DOBOX,G2,128,512,,2013
11,AMD Athlon X2 5600+,2900,65,55,https://web.archive.org/web/20131123021359/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=422&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2,AMD Athlon X2,65,ADO5600IAA5DO,ADO5600DOBOX,G2,128,512,,2013
12,AMD Athlon X2 BE-2400,2300,45,55,https://web.archive.org/web/20131123025620/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=395&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2,AMD Athlon X2,65,ADH2400IAA5DO,ADH2400DOBOX,G2,128,512,,2013
13,AMD Athlon X2 BE-2300,1900,45,55,https://web.archive.org/web/20131123025614/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=394&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2,AMD Athlon X2,65,ADH2300IAA5DD,ADH2300DDBOX,G1,128,512,,2013
